Id,Genre 1,Genre 2,Genre 3,Genre 4,Popularity, Budget , Revenue 
433,Comedy,Family,Fantasy,,15.11549,6000000.0,102272727.0
11360,Animation,Family,,,14.655879,812000.0,1600000.0
12335,Adventure,Fantasy,Animation,Comedy,10.362012,20000000.0,17900000.0
12092,Animation,Adventure,Family,Fantasy,16.488937,3000000.0,572000000.0
10948,Adventure,Animation,Drama,Family,10.197106,12000000.0,29800000.0
15121,Drama,Family,Music,Romance,9.06773,8200000.0,286214286.0
562,Action,Thriller,,,16.640522,28000000.0,140767956.0
10163,Horror,Thriller,Science,,6.685948,10000000.0,32101000.0
11159,Drama,,,,11.223572,4500000.0,13417292.0
41843,Drama,Romance,,,2.167132,16000000.0,1985001.0
11412,Crime,Action,Mystery,Thriller,14.482345,65000000.0,89456761.0
10586,Adventure,,,,10.789928,50000000.0,75000000.0
49471,Drama,,,,5.230661,2400000.0,5731103.0
38153,Action,Thriller,,,3.733574,45000000.0,2154540.0
25147,Drama,Romance,,,3.379677,7000000.0,405000.0
454,Drama,Romance,,,11.774061,14500000.0,147298761.0
10218,Comedy,Romance,,,6.578025,200000.0,4505922.0
819,Crime,Drama,Thriller,,9.198283,44000000.0,165615285.0
252,Family,Fantasy,,,12.416635,3000000.0,4000000.0
11561,Comedy,Romance,Science,,6.048904,2000000.0,18344729.0
11302,Comedy,,,,4.331819,2000000.0,11833696.0
623,Comedy,Crime,,,11.400353,7500000.0,62493712.0
583,Comedy,,,,10.714173,4000000.0,20045115.0
11575,Adventure,Comedy,,,4.473327,12000000.0,25333333.0
475,Crime,Drama,,,12.109198,2500000.0,50700000.0
521,Crime,Mystery,Thriller,,7.853231,1400000.0,3000000.0
88,Drama,Music,Romance,,14.044122,6000000.0,213954274.0
500,Crime,Thriller,,,12.22034,1200000.0,14661007.0
792,Drama,War,Action,,18.206972,6000000.0,138530565.0
8491,Comedy,,,,8.051891,6500000.0,30218387.0
402,Thriller,Mystery,,,16.628427,49000000.0,352927224.0
10537,Drama,Music,,,7.829619,38000000.0,34416893.0
11386,Romance,Crime,Drama,Thriller,7.404329,3705538.0,62548947.0
9504,Crime,Drama,Mystery,,6.792215,12500000.0,10725228.0
15764,Drama,Romance,,,15.417202,12000000.0,30036000.0
601,Science,name:,name:,,19.358546,10500000.0,792965326.0
2119,Adventure,,,,7.046753,60000000.0,157920733.0
744,Action,Romance,War,,20.301019,15000000.0,356830601.0
702,Drama,,,,7.301719,1800000.0,8000000.0
21612,Crime,Drama,,,2.772039,12500000.0,1227324.0
1630,Drama,,,,9.178371,36000000.0,20300385.0
11843,Mystery,Comedy,Crime,,6.501177,5000000.0,41833347.0
