Id,Vote Average, Budget 
279,7.8,18000000.0
1578,7.7,18000000.0
703,7.8,4000000.0
9549,7.4,27000000.0
387,7.9,14000000.0
9277,7.9,5500000.0
218,7.4,6400000.0
763,7.4,3000000.0
9665,7.4,18000000.0
379,7.5,14000000.0
207,8.1,16400000.0
37247,7.6,3000000.0
1480,7.6,829000.0
826,7.7,3000000.0
829,7.9,6000000.0
3090,7.9,3800000.0
694,8.1,19000000.0
235,7.8,8000000.0
765,7.5,3600000.0
5925,7.8,4000000.0
11778,7.8,15000000.0
137,7.4,14600000.0
33,7.7,14000000.0
982,7.7,80000000.0
105,8.0,19000000.0
1633,7.6,11000000.0
11202,7.3,12000000.0
149,7.8,8000000.0
8009,6.8,16000000.0
903,7.7,3000000.0
3034,7.7,2800000.0
339,7.5,3500000.0
914,8.1,2000000.0
756,7.2,2280000.0
288,7.6,730000.0
665,7.5,15000000.0
11031,7.6,2500000.0
89,7.6,48000000.0
783,7.4,22000000.0
10644,7.0,17000000.0
11257,6.9,3000000.0
12104,7.7,12000000.0
625,7.5,14400000.0
830,7.2,1900000.0
642,7.4,6000000.0
655,7.7,1746964.0
639,7.3,16000000.0
8077,6.2,50000000.0
814,7.2,10000000.0
571,7.3,2500000.0
6114,7.1,40000000.0
9529,6.2,6000000.0
1598,7.0,35000000.0
7340,7.0,1800000.0
377,7.2,1800000.0
794,7.2,2800000.0
199,7.0,46000000.0
12498,7.4,1000000.0
9279,5.5,60000000.0
21539,5.4,40000000.0
12709,7.4,3000000.0
11674,5.6,54000000.0
1573,6.6,70000000.0
152,6.2,35000000.0
174,6.7,27000000.0
172,5.6,30000000.0
154,7.3,12000000.0
157,6.4,18000000.0
168,6.9,24000000.0
364,6.6,80000000.0
11967,6.6,13000000.0
621,7.2,6000000.0
9037,4.9,13200000.0
10173,5.6,12000000.0
8845,6.1,35000000.0
578,7.5,7000000.0
579,5.9,20000000.0
17692,4.2,20500000.0
75,6.1,70000000.0
13891,6.8,3000000.0
9390,6.7,50000000.0
378,7.2,6000000.0
9819,6.6,23000000.0
4232,7.0,14000000.0
9361,7.1,40000000.0
8818,5.9,55000000.0
34314,5.2,55000000.0
8860,5.3,55000000.0
9619,5.8,116000000.0
26306,6.7,8000000.0
66,6.4,50000000.0
11419,6.0,25000000.0
638,7.5,15000000.0
25624,6.7,30000000.0
9366,7.4,35000000.0
28005,5.7,3000000.0
9403,6.7,28000000.0
10003,5.9,68000000.0
1624,6.4,45000000.0
16052,7.1,20000000.0
4477,5.9,90000000.0
24662,7.1,32000000.0
6499,4.6,10000000.0
50512,6.4,35000000.0
9360,4.8,45000000.0
816,6.5,16500000.0
2163,6.6,36000000.0
18,7.3,90000000.0
64802,5.7,2000000.0
330,6.2,73000000.0
1701,6.5,75000000.0
1639,4.1,160000000.0
49235,6.0,500000.0
415,4.2,125000000.0
11970,7.3,85000000.0
8874,6.4,38000000.0
266,7.5,900000.0
754,6.8,80000000.0
607,6.9,90000000.0
17834,5.5,28000000.0
686,7.2,90000000.0
4421,6.0,50000000.0
9387,6.6,20000000.0
2142,6.6,15000000.0
8413,6.4,60000000.0
10336,5.0,40000000.0
20737,5.3,3000000.0
9413,5.1,19000000.0
8834,6.5,75000000.0
8854,4.2,16000000.0
4961,5.7,30000000.0
9772,6.2,85000000.0
6072,6.5,20000000.0
1669,7.2,30000000.0
2118,7.7,35000000.0
978,7.0,70000000.0
9437,6.2,27000000.0
10351,5.6,5000000.0
2649,7.5,50000000.0
14289,5.0,60000000.0
10155,6.5,19000000.0
68924,6.9,18000000.0
2255,6.7,250000.0
9427,6.9,3500000.0
3597,5.6,17000000.0
1813,7.2,57000000.0
12628,5.6,12000000.0
33344,6.3,1500000.0
782,7.5,36000000.0
10871,5.8,37000000.0
10890,6.5,10000000.0
1281,6.3,18000000.0
9770,5.9,50000000.0
12616,5.7,24000000.0
11975,6.7,40000000.0
4995,7.5,15000000.0
9281,7.0,12000000.0
563,6.7,105000000.0
19931,7.1,11000000.0
10215,6.6,6000000.0
9823,3.8,30000000.0
37165,7.8,60000000.0
4824,6.1,60000000.0
9444,7.4,53000000.0
9414,6.5,20000000.0
8078,5.9,70000000.0
11831,6.8,36000000.0
2639,7.3,20000000.0
9574,5.3,80000000.0
10371,5.6,35000000.0
489,7.9,10000000.0
9714,5.1,32000000.0
8197,6.3,35000000.0
6283,6.2,38000000.0
4233,6.1,24000000.0
10217,6.8,5000000.0
597,7.5,200000000.0
714,6.0,110000000.0
9922,6.1,80000000.0
547,6.7,60000000.0
184,7.3,12000000.0
9746,6.8,28000000.0
115,7.8,15000000.0
9410,6.4,25000000.0
586,6.7,15000000.0
2666,7.2,27000000.0
11258,5.5,70000000.0
9490,6.4,8000000.0
25719,7.0,3000000.0
6116,4.7,25000000.0
9457,6.0,45000000.0
11702,6.0,30000000.0
12238,5.7,1000000.0
11568,5.2,28000000.0
11003,6.5,18000000.0
10153,5.8,75000000.0
2898,7.2,50000000.0
9558,6.5,1000000.0
11808,6.2,60000000.0
42807,5.9,27000000.0
617,6.3,20000000.0
32456,5.4,1000000.0
17127,5.6,15000000.0
40688,4.1,24000000.0
2157,5.0,80000000.0
29193,7.1,10000000.0
795,6.5,55000000.0
9469,6.7,25000000.0
16148,6.0,5000000.0
78149,3.0,10000000.0
10622,6.2,12716953.0
10216,4.5,35000000.0
9448,6.1,13000000.0
8656,5.9,75000000.0
58680,5.5,13000000.0
18937,6.9,40000000.0
929,5.3,130000000.0
9452,6.3,30000000.0
1878,7.2,18500000.0
9844,5.9,5000000.0
1965,6.3,60000000.0
6068,5.6,70000000.0
15037,6.1,10000000.0
21334,7.8,180000.0
10674,7.6,90000000.0
846,6.6,66000000.0
3050,5.4,71000000.0
1389,6.5,48000000.0
9464,7.2,1500000.0
95,6.5,140000000.0
944,6.3,140000000.0
11551,6.2,40000000.0
473,7.1,60000.0
544,6.5,23000000.0
65203,5.0,379000.0
33680,6.5,700000.0
56164,4.6,1180280.0
12311,7.1,1950000.0
34106,7.2,1644736.0
43266,6.9,1250000.0
27367,6.7,1344000.0
28580,7.4,1250000.0
887,7.6,2100000.0
33667,6.8,2000000.0
27191,6.6,4000000.0
11426,7.2,1650000.0
654,8.0,910000.0
15919,7.2,343000.0
1725,7.0,6000000.0
5769,6.1,1000000.0
874,7.5,3900000.0
10633,7.5,2000000.0
17917,7.0,10000000.0
3116,7.4,3600000.0
1051,7.4,1800000.0
1366,7.5,1000000.0
12102,7.4,8000000.0
9443,6.9,5500000.0
606,7.0,31000000.0
746,7.4,23000000.0
380,7.6,25000000.0
403,7.0,7500000.0
13820,6.7,1500000.0
13597,7.1,25000000.0
2108,7.8,1000000.0
10014,5.7,3000000.0
10072,6.5,5000000.0
10131,5.8,7000000.0
10160,5.5,8000000.0
11284,5.1,11000000.0
4488,6.4,550000.0
9725,6.0,1250000.0
9728,5.7,4000000.0
9730,5.9,2600000.0
9731,5.1,2200000.0
10225,5.7,3000000.0
10281,5.3,2800000.0
10283,4.8,5000000.0
948,7.4,300000.0
11281,6.4,2500000.0
10676,5.0,2500000.0
11357,5.9,5000000.0
11361,5.3,5000000.0
36599,6.0,1000000.0
10585,6.3,9000000.0
11186,5.8,13000000.0
11187,5.5,13000000.0
609,7.1,10700000.0
11133,5.8,19000000.0
10306,4.6,10500000.0
9552,7.5,8000000.0
11586,4.5,14000000.0
941,7.0,15000000.0
942,6.7,25000000.0
943,6.4,35000000.0
927,6.9,11000000.0
928,6.3,50000000.0
9340,7.4,19000000.0
9342,6.3,95000000.0
19,8.0,92620000.0
165,7.4,40000000.0
196,7.1,40000000.0
551,7.3,5000000.0
3170,6.8,858000.0
346,8.2,2000000.0
859,7.1,14000000.0
841,6.5,40000000.0
11051,7.0,7000000.0
242,7.1,54000000.0
1411,6.4,1227401.0
9769,7.0,62000000.0
9424,5.5,15000000.0
9835,5.4,10000000.0
857,7.9,70000000.0
10957,6.5,25000000.0
9570,6.1,20000000.0
65157,5.9,5000000.0
9994,6.9,14000000.0
10439,6.5,28000000.0
11158,4.8,40000000.0
9354,6.1,32000000.0
9631,6.8,50000000.0
1779,7.4,160000.0
10849,7.3,15000000.0
907,7.4,11000000.0
11974,6.6,18000000.0
793,7.7,6000000.0
9325,7.1,4000000.0
10144,7.2,40000000.0
10414,6.4,10000000.0
12230,6.8,4000000.0
10693,7.0,4000000.0
11135,6.6,37931000.0
11319,6.7,1200000.0
13155,6.6,25000000.0
10249,6.3,42000000.0
10882,6.8,6000000.0
24808,6.6,19000000.0
2619,6.1,8000000.0
97,6.6,17000000.0
11675,5.7,17000000.0
19158,4.5,10500000.0
227,6.9,10000000.0
87,7.1,28000000.0
123,6.1,4000000.0
11336,6.9,10000000.0
